State,Action 0 (No saltar),Action 1 (Saltar)
"(32, 12, 1, 0)",1.3701122507999999,0.0
"(33, 12, 1, 0)",9.893141655805115,0.671020785532502
"(33, 13, 1, 0)",9.889442642861859,0.712233621
"(34, 13, 1, 0)",9.897671774039448,1.3618758590660718
"(35, 13, 1, 0)",9.880088830558897,0.29180637415590516
"(35, 12, 1, 1)",-1.161150685709978,-1.2898116687616923
"(35, 12, 1, 0)",-2.9446085823972012,-2.8241392178620517
"(36, 11, 1, 0)",-9.6766170940963,-11.07431992368699
"(36, 10, 1, 0)",-19.247124299382335,-14.630052934455126
"(37, 10, 1, 0)",-33.26276181238259,-31.515375656790404
"(38, 10, 1, 0)",9.868098050614192,-57.88530278869581
"(39, 10, 1, 0)",9.84128027157758,-86.90445052949549
"(39, 10, 1, 1)",0.3904963220845594,-94.8155210507652
"(39, 11, 1, 0)",-116.90944146115778,-10.487866961283544
"(40, 11, 1, 0)",0.51,0.0
"(40, 12, 1, 0)",-153.64749168935947,-152.3745493302269
"(6, 5, 1, 1)",1.09203892202967,0.0
"(6, 6, 1, 1)",0.43770000000000003,0.0
"(7, 9, 1, 1)",0.820959,0.0
"(27, 12, 1, 1)",0.3,0.6177
"(27, 12, 1, 0)",0.47983539000000003,0.0
"(28, 10, 1, 1)",0.3,0.0
"(28, 10, 1, 0)",2.219255889588888,0.0
"(29, 10, 1, 1)",2.075977751035806,0.6578285328477149
"(31, 10, 1, 1)",2.047055984123565,0.0
"(31, 11, 1, 0)",0.3,0.7226999999999999
"(32, 11, 1, 1)",0.74409,0.0
"(32, 13, 1, 0)",1.104776591427,0.43287000000000003
"(33, 12, 1, 1)",2.0272314648014906,0.0
"(33, 11, 1, 0)",1.1568350729999999,0.0
"(34, 11, 1, 0)",0.0,1.0476009299999998
"(34, 11, 1, 1)",0.79586439,0.0
"(34, 10, 1, 1)",1.4054281230530068,0.0
"(34, 10, 1, 0)",1.070859,0.5048790000000001
"(35, 10, 1, 0)",3.589787715390882,0.0
"(37, 11, 1, 0)",9.860291660321577,-12.600990325061785
"(38, 12, 1, 0)",-19.277972436829916,-23.674322844512986
"(38, 13, 1, 0)",-7.196693200042738,-7.399736751549629
"(39, 13, 1, 0)",-22.941437999999998,-22.914057809999996
"(7, 7, 1, 1)",0.5145689999999999,0.0
"(8, 12, 1, 1)",0.611603379057,0.0
"(15, 10, 1, 1)",3.8248476268417457,0.0
"(26, 12, 1, 1)",1.2247221343359298,0.0
"(28, 13, 1, 0)",0.3,10.087164210997297
"(29, 11, 1, 0)",9.951140882183322,0.0
"(32, 10, 1, 0)",9.901176498331841,0.0
"(35, 11, 1, 0)",-7.002505148360443,-7.750049620398072
"(37, 10, 1, 1)",-25.22450643693795,-30.91188381686935
"(40, 12, 1, 1)",-152.32226685160933,-152.87925423091264
"(22, 10, 1, 1)",2.070978743003143,0.0
"(38, 10, 1, 1)",-2.910159842692876,-57.11390552898672
"(16, 11, 1, 1)",1.5138916872664077,0.0
"(34, 12, 1, 1)",0.7425059013869999,0.0
"(34, 12, 1, 0)",0.45147000000000004,0.0
"(35, 11, 1, 1)",-4.870966860309173,-5.18846136595731
"(38, 11, 1, 0)",9.85601749038156,-28.167181299686767
"(39, 12, 1, 0)",-6.0,0.0
"(13, 11, 1, 1)",3.344790868155317,0.0
"(27, 11, 1, 1)",0.3,0.0
"(27, 11, 1, 0)",0.7612117896484462,0.0
"(31, 11, 1, 1)",0.45147000000000004,0.0
"(31, 12, 1, 1)",0.583392351,0.0
"(37, 12, 1, 0)",9.836044789559837,-4.276333575297299
"(39, 12, 1, 1)",-6.0,0.0
"(39, 11, 1, 1)",-4.979823612110289,-119.02035134114107
"(29, 11, 1, 1)",1.5016777076597787,0.0
"(36, 11, 1, 1)",-10.793297862506975,-12.800855959825308
"(25, 12, 1, 0)",-6.0,0.0
"(5, 5, 1, 1)",1.3484333503474517,0.0
"(22, 11, 1, 1)",1.7624319304756257,0.0
"(21, 11, 1, 1)",2.4598667875323934,0.0
"(36, 10, 1, 1)",-18.03693296410128,-17.33836537441072
"(36, 13, 1, 0)",9.872461286343494,0.0
"(37, 13, 1, 0)",-0.3223577014603398,9.870940402395519
"(38, 12, 1, 1)",-13.468835554352637,-14.796330138701846
"(40, 10, 1, 0)",9.788867500684045,0.0
"(41, 10, 1, 0)",9.694137813151437,0.0
"(42, 10, 1, 0)",9.210675452018641,0.0
"(42, 11, 1, 0)",-0.1306529664414059,9.524468665244683
"(43, 11, 1, 0)",-4.714735206497685,-4.882322416185683
"(44, 11, 1, 0)",-16.120675538686584,-13.39788889922492
"(44, 12, 1, 0)",0.0,0.0
"(38, 11, 1, 1)",-47.79922753868176,-16.95646159468425
"(44, 11, 1, 1)",-16.374054725675066,-16.639641749885257
"(44, 12, 1, 1)",0.0,0.0
"(43, 11, 1, 1)",-7.458449581850646,-7.726433179160203
"(37, 12, 1, 1)",9.805724689937588,-2.0272230294827027
"(41, 11, 1, 0)",9.657011854821976,0.0
"(37, 11, 1, 1)",-3.7108565373233127,-9.96242509008989
"(42, 10, 1, 1)",9.328691642750055,0.0
"(42, 9, 1, 0)",9.070898849255398,0.0
"(43, 9, 1, 0)",8.838077692614876,0.0
"(43, 8, 1, 0)",8.554635096100302,0.0
"(44, 8, 1, 0)",7.99588900648973,0.0
"(45, 8, 1, 0)",7.082408562858859,0.0
"(46, 8, 1, 0)",5.750307402149669,0.0
"(46, 9, 1, 0)",4.766974597646733,0.0
"(46, 10, 1, 0)",3.2854892497370303,0.0
